1980-05-19;384,7
1980-05-26;385,8
1980-06-02;386,8
1980-06-09;387,1
1980-06-16;389,0
1980-06-23;389,9
1980-06-30;391,3
1980-07-07;391,4
1980-07-14;394,2
1980-07-21;393,9
1980-07-28;394,6
1980-08-04;398,8
1980-08-11;398,2
1980-08-18;398,3
1980-08-25;399,3
1980-09-01;402,1
1980-09-08;403,9
1980-09-15;404,7
1980-09-22;405,6
1980-09-29;405,3
1980-10-06;408,2
1980-10-13;408,9
1980-10-20;408,6
1980-10-27;409,6
1980-11-03;409,2
1980-11-10;410,4
1980-11-17;411,3
1980-11-24;410,8
1980-12-01;410,5
1980-12-08;409,6
1980-12-15;410,7
1980-12-22;409,9
1980-12-29;404,3
1981-01-05;407,4
1981-01-12;409,4
1981-01-19;413,2
1981-01-26;413,8
1981-02-02;410,8
1981-02-09;413,6
1981-02-16;415,3
1981-02-23;416,6
1981-03-02;414,7
1981-03-09;417,4
1981-03-16;419,1
1981-03-23;419,2
1981-03-30;421,0
1981-04-06;424,0
1981-04-13;426,1
1981-04-20;429,7
1981-04-27;429,2
1981-05-04;427,6
1981-05-11;425,7
1981-05-18;423,6
1981-05-25;423,1
1981-06-01;424,6
1981-06-08;423,1
1981-06-15;425,4
1981-06-22;426,6
1981-06-29;425,2
1981-07-06;428,8
1981-07-13;426,2
1981-07-20;427,4
1981-07-27;426,2
1981-08-03;425,9
1981-08-10;429,0
1981-08-17;426,3
1981-08-24;425,8
1981-08-31;427,0
1981-09-07;425,6
1981-09-14;429,0
1981-09-21;428,3
1981-09-28;424,9
1981-10-05;427,0
1981-10-12;428,3
1981-10-19;428,9
1981-10-26;428,9
1981-11-02;428,3
1981-11-09;430,6
1981-11-16;431,4
1981-11-23;430,4
1981-11-30;433,5
1981-12-07;436,2
1981-12-14;435,1
1981-12-21;437,2
1981-12-28;436,7
1982-01-04;440,2
1982-01-11;442,7
1982-01-18;442,8
1982-01-25;442,7
1982-02-01;444,2
1982-02-08;441,3
1982-02-15;442,3
1982-02-22;441,6
1982-03-01;442,2
1982-03-08;442,1
1982-03-15;443,4
1982-03-22;442,4
1982-03-29;442,4
1982-04-05;445,2
1982-04-12;447,6
1982-04-19;448,5
1982-04-26;447,7
1982-05-03;445,3
1982-05-10;447,2
1982-05-17;445,9
1982-05-24;447,1
1982-05-31;447,4
1982-06-07;448,0
1982-06-14;449,1
1982-06-21;448,3
1982-06-28;445,0
1982-07-05;446,1
1982-07-12;449,0
1982-07-19;447,8
1982-07-26;448,4
1982-08-02;448,5
1982-08-09;449,6
1982-08-16;451,2
1982-08-23;452,3
1982-08-30;453,1
1982-09-06;454,5
1982-09-13;456,6
1982-09-20;458,2
1982-09-27;456,6
1982-10-04;460,0
1982-10-11;463,3
1982-10-18;463,9
1982-10-25;465,5
1982-11-01;468,7
1982-11-08;470,4
1982-11-15;472,1
1982-11-22;471,9
1982-11-29;471,5
1982-12-06;474,2
1982-12-13;477,1
1982-12-20;475,2
1982-12-27;473,9
1983-01-03;472,6
1983-01-10;475,3
1983-01-17;477,2
1983-01-24;478,4
1983-01-31;479,7
1983-02-07;482,3
1983-02-14;483,4
1983-02-21;483,9
1983-02-28;487,5
1983-03-07;489,6
1983-03-14;489,6
1983-03-21;490,9
1983-03-28;491,0
1983-04-04;493,4
1983-04-11;493,7
1983-04-18;491,2
1983-04-25;492,5
1983-05-02;496,0
1983-05-09;497,5
1983-05-16;501,3
1983-05-23;500,9
1983-05-30;501,0
1983-06-06;502,6
1983-06-13;504,2
1983-06-20;504,4
1983-06-27;503,9
1983-07-04;505,1
1983-07-11;508,2
1983-07-18;506,8
1983-07-25;508,2
1983-08-01;510,1
1983-08-08;509,1
1983-08-15;510,8
1983-08-22;510,9
1983-08-29;510,6
1983-09-05;512,3
1983-09-12;511,8
1983-09-19;512,3
1983-09-26;514,0
1983-10-03;513,8
1983-10-10;517,3
1983-10-17;517,7
1983-10-24;518,5
1983-10-31;518,4
1983-11-07;518,9
1983-11-14;519,1
1983-11-21;518,8
1983-11-28;518,6
1983-12-05;520,4
1983-12-12;521,6
1983-12-19;522,2
1983-12-26;520,6
1984-01-02;522,2
1984-01-09;525,3
1984-01-16;526,3
1984-01-23;525,0
1984-01-30;524,2
1984-02-06;526,6
1984-02-13;527,1
1984-02-20;528,5
1984-02-27;527,4
1984-03-05;529,4
1984-03-12;530,0
1984-03-19;531,4
1984-03-26;533,3
1984-04-02;531,8
1984-04-09;533,8
1984-04-16;535,5
1984-04-23;534,7
1984-04-30;534,5
1984-05-07;535,4
1984-05-14;537,4
1984-05-21;537,1
1984-05-28;536,2
1984-06-04;539,6
1984-06-11;540,2
1984-06-18;539,3
1984-06-25;540,3
1984-07-02;541,1
1984-07-09;539,9
1984-07-16;542,2
1984-07-23;541,3
1984-07-30;539,7
1984-08-06;540,5
1984-08-13;541,2
1984-08-20;541,3
1984-08-27;540,7
1984-09-03;541,7
1984-09-10;543,4
1984-09-17;542,8
1984-09-24;542,8
1984-10-01;544,9
1984-10-08;542,2
1984-10-15;545,7
1984-10-22;542,1
1984-10-29;544,4
1984-11-05;546,4
1984-11-12;546,7
1984-11-19;549,7
1984-11-26;549,1
